хань	han		hān 酣,憨,鼾,蚶,顸,谽,魽	hán 含,韩,寒,汗,函,涵,邯,晗,焓,邗,肣,韓	hǎn 厂,喊,罕,蔊	hàn 汉,汗,翰,憾,旱,撼,悍,捍,瀚,焊,颔,菡,肣,頷,睅,鋎,銲,漢	
хан	hang		hāng 夯	háng 行,航,杭,吭,桁,颃,蚢,迒,绗		hàng 沆	
хао	hao		hāo 蒿,薅,嚆	háo 号,毫,豪,壕,嚎,嗥,蚝,濠,號,蠔,籇	hǎo 好,郝	hào 好,号,耗,浩,皓,昊,镐,颢,灏,鄗,號,薃	
хэ	he		hē 喝,呵,诃,嗬,蠚	hé 和,合,何,河,核,荷,盒,颌,禾,劾,涸,阂,阖,龢,纥,菏,曷,郃,貉,盍,蓋,翮,饸,龁,閤,鲄,盇,鞨,詥,釛,粭,鶡,麧,覈,鹖,礉,紇,頜,魺,盉,閡		hè 和,喝,赫,荷,吓,贺,鹤,褐,壑,賀,翯,袔,隺,鸖,鶴,嚇	
хэй	hei		hēi 黑,嘿,黒				
хэнь	hen			hén 痕,鞎	hěn 很,狠,哏,詪	hèn 恨	
хэн	heng		hēng 哼,亨,脝	héng 横,衡,恒,珩,桁,蘅,鸻,鐄,鴴,橫,恆		hèng 横,橫	
хм	hm						
хн	hng						
хун	hong		hōng 轰,哄,烘,訇,薨,鍧,軣,轟	hóng 红,洪,宏,鸿,虹,弘,泓,荭,竑,闳,紅,纮,魟,黉,翃,鋐,鴻,紭,紘,竤,谼	hǒng 哄	hòng 哄,汞,讧,蕻,闀,訌,鬨	
хоу	hou		hōu 齁	hóu 侯,喉,猴,糇,骺,篌,睺,瘊,餱,翭,葔	hǒu 吼	hòu 后,候,厚,後,逅,鲎,堠,郈	
ху	hu		hū 乎,呼,忽,惚,唿,芴,滹,烀,虖,膴,轷	hú 和,胡,湖,糊,狐,壶,蝴,弧,瑚,葫,鹄,斛,鹘,囫,鹕,槲,觳,猢,煳,醐,縠,餬,魱,鍸,隺,礐,壷,壺,鬍	hǔ 虎,唬,浒,琥,虝	hù 护,户,互,糊,沪,扈,笏,祜,怙,岵,瓠,鹱,護,戽,鱯,鄠,粐,鳠,冱,綔,豰,戸,戶	
хуа	hua		huā 化,花,华,哗,砉,華,糀,嘩	huá 华,划,滑,哗,豁,猾,骅,铧,華,驊,譁,螖,嘩,劃		huà 话,化,划,画,桦,話,繣,枠,樺,畫,劃	
хуай	huai			huái 怀,淮,徊,槐,踝,褱,懐,懷		huài 坏,壊,壞	
